,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,round,score,start_date,tournament_link,tournament_name,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners
44,,J Boutter / M Llodra,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,2-1 Retired,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,K Braasch / R Schuettler,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,G Gaudio / N Lapentti,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,4-6 6-3 6-2,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,B Bryan / M Bryan,,,,,,,,,,,,,,,,,,,,,,,,,,
46,H2H 1-0,Ryan Henry,,,,,,,,,,,,,,,,,,,,,,,,,,,FQ,6-2 6-7(8) 7-5,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Hyung-Taik Lee,,,,,,,,,,,,,,,,,,,,,,,,,,
47,H2H 1-1,Kristian Pless,,,,,,,,,,,,,,,,,,,,,,,,,,,FQ,4-6 6-4 6-3,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Peter Luczak,,,,,,,,,,,,,,,,,,,,,,,,,,
48,H2H 1-0,Arnaud Di Pasquale,,,,,,,,,,,,,,,,,,,,,,,,,,,FQ,6-0 1-6 6-2,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Mardy Fish,,,,,,,,,,,,,,,,,,,,,,,,,,
49,H2H 1-0,Franco Squillari,,,,,,,,,,,,,,,,,,,,,,,,,,,FQ,7-6(4) 7-5,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Jaymon Crabb,,,,,,,,,,,,,,,,,,,,,,,,,,
50,H2H 1-0,Lars Burgsmuller,,,,,,,,,,,,,,,,,,,,,,,,,,,SFQ,7-6(0) 6-4,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Ryan Henry,,,,,,,,,,,,,,,,,,,,,,,,,,
51,H2H 1-0,Jan Vacek,,,,,,,,,,,,,,,,,,,,,,,,,,,SFQ,4-6 7-6(4) 6-2,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Hyung-Taik Lee,,,,,,,,,,,,,,,,,,,,,,,,,,
52,H2H 1-0,Alexander Waske,,,,,,,,,,,,,,,,,,,,,,,,,,,SFQ,4-6 6-3 6-4,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Peter Luczak,,,,,,,,,,,,,,,,,,,,,,,,,,
53,H2H 1-0,Andrew Ilie,,,,,,,,,,,,,,,,,,,,,,,,,,,SFQ,7-6(7) 6-4,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Kristian Pless,,,,,,,,,,,,,,,,,,,,,,,,,,
54,H2H 1-1,Stefano Galvani,,,,,,,,,,,,,,,,,,,,,,,,,,,SFQ,2-6 6-3 6-3,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Arnaud Di Pasquale,,,,,,,,,,,,,,,,,,,,,,,,,,
55,H2H 1-1,Alex Kim,,,,,,,,,,,,,,,,,,,,,,,,,,,SFQ,6-3 6-2,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Mardy Fish,,,,,,,,,,,,,,,,,,,,,,,,,,
56,H2H 1-0,Gregory Carraz,,,,,,,,,,,,,,,,,,,,,,,,,,,SFQ,4-6 7-6(3) 6-3,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Franco Squillari,,,,,,,,,,,,,,,,,,,,,,,,,,
57,H2H 1-0,Albert Portas,,,,,,,,,,,,,,,,,,,,,,,,,,,SFQ,6-3 6-1,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Jaymon Crabb,,,,,,,,,,,,,,,,,,,,,,,,,,
58,H2H 2-1,Mariano Puerta,,,,,,,,,,,,,,,,,,,,,,,,,,,QFQ,6-1 6-4,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Lars Burgsmuller,,,,,,,,,,,,,,,,,,,,,,,,,,
59,H2H 1-0,Noam Okun,,,,,,,,,,,,,,,,,,,,,,,,,,,QFQ,6-2 7-6(1),2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Ryan Henry,,,,,,,,,,,,,,,,,,,,,,,,,,
60,H2H 1-0,Juan-Manuel Balcells,,,,,,,,,,,,,,,,,,,,,,,,,,,QFQ,7-6(5) 7-5,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Jan Vacek,,,,,,,,,,,,,,,,,,,,,,,,,,
61,H2H 1-0,Jean-Francois Bachelot,,,,,,,,,,,,,,,,,,,,,,,,,,,QFQ,6-7(4) 6-4 6-2,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Hyung-Taik Lee,,,,,,,,,,,,,,,,,,,,,,,,,,
