,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name,surface
96,H2H 1-1,Milan Srejber,R64,3-6 2-6 7-5 6-3 6-3,Ken Flach,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
97,H2H 1-0,Bob Green,R64,6-3 3-6 7-6 6-4,Robert Seguso,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
98,H2H 1-1,Andreas Maurer,R64,2-6 7-5 6-3 6-4,Javier Frana,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
99,H2H 1-0,Peter Carlsson,R64,6-2 6-3 3-2 Retired,John Frawley,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
100,H2H 1-0,John Letts,R64,3-6 6-1 6-0 6-2,Stefan Edberg,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
101,H2H 4-1,Brad Drewett,R64,7-5 6-3 6-2,Brad Gilbert,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
102,H2H 2-0,Richard Matuszewski,R64,7-5 6-1 6-1,Derrick Rostagno,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
103,H2H 1-0,Danie Visser,R64,3-6 7-6 6-3 4-6 12-10,Brad Pearce,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
104,H2H 1-0,Johan Kriek,R64,6-2 2-6 6-4 6-4,Kelly Evernden,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
105,H2H 1-2,Jakob Hlasek,R64,4-6 6-3 6-3 6-7 6-4,Christo Van Rensburg,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
106,H2H 3-0,Kelly Jones,R64,6-7 6-2 6-0 6-4,Wally Masur,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
107,H2H 1-0,Carl Limberger,R64,6-1 6-4 6-2,Slobodan Zivojinovic,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
108,H2H 3-1,Broderick Dyke,R64,6-7 6-1 6-4 6-7 6-2,Boris Becker,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
109,H2H 1-0,Patrik Kuhnen,R128,6-4 6-3 6-3,Danny Saltz,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
110,H2H 1-2,Marcel Freeman,R128,6-4 1-0 Retired,Matt Anger,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
111,H2H 1-0,Gary Donnelly,R128,7-6 6-7 6-3 7-6,Russell Simpson,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
112,H2H 1-0,Mike De Palmer,R128,1-6 6-4 6-1 6-2,Dan Goldie,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
113,H2H 2-0,Christian Saceanu,R128,4-6 7-6 6-3 7-6,Johan Carlsson,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
114,H2H 2-0,Andrew Castle,R128,6-7 7-5 3-6 7-5 6-1,Bruce Derlin,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
115,H2H 1-0,Desmond Tyson,R128,7-6 7-6 6-1,Peter Doohan,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
116,H2H 1-0,Anthony Lane,R128,6-7 3-6 6-3 6-2 6-2,Bill Scanlon,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
117,H2H 2-0,Steve Guy,R128,7-5 6-2 3-6 7-6,Bud Schultz,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
118,H2H 1-0,Peter McNamara,R128,7-6 6-4 2-6 3-6 6-4,Scott Davis,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
119,H2H 1-0,Huub Van Boeckel,R128,6-3 6-4 7-5,Nicholas Fulwood,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
120,H2H 2-1,Darren Cahill,R128,6-3 6-4 6-4,Shane Barr,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
121,H2H 1-0,Michael Robertson,R128,5-7 2-6 6-3 7-6 9-7,Claudio Pistolesi,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
122,H2H 1-0,Jon Levine,R128,6-1 6-4 6-4,Michiel Schapers,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
123,H2H 1-0,Tony Mmoh,R128,7-6 7-6 6-4,Paul Annacone,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
124,H2H 1-0,Grant Connell,R128,6-4 6-4 6-4,Todd Nelson,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
125,H2H 1-0,Mike Baroch,R128,6-3 6-4 6-4,Mark Woodforde,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
126,H2H 1-0,Steve Denton,R128,6-7 6-3 6-4 6-4,Gary Muller,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
127,H2H 1-0,Charlton Eagle,R128,7-6 6-4 7-6,Marty Davis,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
128,H2H 2-1,Jay Lapidus,R128,7-6 4-6 7-6 6-4,Mark Kratzmann,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
129,H2H 2-0,Glenn Michibata,R128,6-3 5-7 6-4 6-4,Javier Frana,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
130,H2H 1-0,Simon Youl,R128,6-4 6-3 7-6,Andreas Maurer,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
131,H2H 1-0,Jason Stoltenberg,R128,6-3 1-6 6-3 6-2,Peter Carlsson,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
132,H2H 1-0,Gilad Bloom,R128,4-6 7-5 6-4 6-4,John Letts,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
133,H2H 3-0,Paul McNamee,R128,6-4 3-6 6-4 6-2,Brad Drewett,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
134,H2H 1-0,Nduka Odizor,R128,7-5 6-2 6-3,Derrick Rostagno,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
