,h2h,loser,round,score,start_date,tournament_link,tournament_name,winner
85,,P Fleming / S Mott,R32,6-4 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,J Feaver / J James
86,,C Crealy / W Lloyd,R32,3-6 7-6 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,R Drysdale / R Lewis
87,,R Ruffels / S Stone,R32,7-6 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,C Dibley / C Kachel
88,,E Ewert / C Hagey,R32,3-6 7-5 6-0,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,S Myers / J Smith
89,,P McNamara / P McNamee,R32,6-4 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,C Pasarell / E Van Dillen
90,,B Phillips-moore / G Reid,R32,3-6 6-1 7-5,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,D Bohrnstedt / M Machette
91,,P Kronk / C Letcher,R32,6-3 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,J Alexander / P Dent
92,,R Frawley / G Thomson,R32,6-4 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,H Pfister / N Saviano
93,,M Bahrami / N Kelaidis,R32,6-1 6-2,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,M Riessen / R Tanner
94,H2H 1-0,Wayne Cowley,FQ,6-3 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Tim Wilkison
95,H2H 1-0,Tim Clements,FQ,6-4 6-2,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,William Lofgren
96,H2H 1-0,Stephen Myers,FQ,6-3 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Warren Maher
97,H2H 1-0,Will Coghlan,FQ,6-1 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Peter Campbell
98,H2H 1-0,Jonathan Smith,FQ,7-6 6-7 6-1,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Charles Fancutt
99,H2H 1-0,H. Elschenbroich,FQ,7-6 3-6 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,John Trickey
100,H2H 1-0,Peter Elter,FQ,6-4 3-6 6-1,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Graeme Thomson
101,H2H 1-0,Stephen Mott,FQ,6-4 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,William Lloyd
102,H2H 1-0,Chris Sylvan,FQ,6-3 6-2,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Bob Giltinan
103,H2H 1-0,Jacques Thamin,FQ,6-2 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Rod Frawley
104,H2H 1-0,David Carter,FQ,6-1 6-7 6-1,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Noel Phillips
105,H2H 1-0,David Whyte,FQ,6-4 6-2,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Dale Collings
106,H2H 1-0,Gilles Moretton,FQ,7-6 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Peter Campbell
107,H2H 1-0,Stephen Mott,FQ,6-3 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Brad Drewett
108,H2H 1-0,John Trickey,FQ,3-6 6-4 6-0,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,M. Anderson
109,H2H 1-0,Greg Braun,FQ,6-1 3-6 6-2,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Peter Feigl
110,H2H 1-0,Rolf Gehring,SFQ,6-4 1-6 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Wayne Cowley
111,H2H 1-0,Robert Casey,SFQ,7-5 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Tim Wilkison
112,H2H 1-0,Ernie Ewert,SFQ,5-7 6-3 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,William Lofgren
113,H2H 1-0,Joel Bailey,SFQ,6-7 6-2 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Tim Clements
114,H2H 2-0,Dale Collings,SFQ,4-6 7-6 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Warren Maher
