,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,start_date,tournament_link,tournament_name,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,surface
5150,H2H 1-0,Peter Polansky,5.0,2.0,5966788.0,147840.0,,1.5,Peter Polansky,46.0,1.0,1.0,47.0,12.0,68.0,41.0,26.0,27.0,8.0,,,,,,2.0,115.0,,,1.5,2.64,FQ,6-3 6-3,2010-09-27,https://matchstat.com/tennis/tournaments/m/Bangkok/2010,Bangkok,Frederik Nielsen,0.0,0.0,5966788.0,147839.0,,2.64,Frederik Nielsen,69.0,9.0,4.0,68.0,34.0,47.0,33.0,24.0,14.0,11.0,,,,,,1.0,115.0,,,hard
5151,H2H 1-0,Evgeny Kirillov,8.0,2.0,5966789.0,147845.0,,3.15,Evgeny Kirillov,112.0,5.0,1.0,109.0,29.0,133.0,89.0,60.0,44.0,23.0,,,,,,1.0,242.0,,,3.15,1.38,FQ,6-3 6-7(9) 7-6(6),2010-09-27,https://matchstat.com/tennis/tournaments/m/Bangkok/2010,Bangkok,Ruben Bemelmans,19.0,1.0,5966789.0,147846.0,,1.38,Ruben Bemelmans,130.0,14.0,2.0,133.0,50.0,109.0,78.0,59.0,31.0,21.0,,,,,,2.0,242.0,,,hard
5152,H2H 2-0,Alex Bogomolov Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FQ,7-5 6-3,2010-09-27,https://matchstat.com/tennis/tournaments/m/Bangkok/2010,Bangkok,Ryler DeHeart,,,,,,,,,,,,,,,,,,,,,,,,,,,hard
5153,H2H 3-0,Peter Gojowczyk,5.0,2.0,5966779.0,147820.0,,2.68,Peter Gojowczyk,64.0,1.0,0.0,65.0,17.0,77.0,41.0,28.0,36.0,19.0,,,,,,2.0,142.0,,,2.68,1.49,SFQ,6-2 7-6(2),2010-09-27,https://matchstat.com/tennis/tournaments/m/Bangkok/2010,Bangkok,Konstantin Kravchuk,11.0,0.0,5966779.0,147819.0,,1.49,Konstantin Kravchuk,78.0,6.0,2.0,77.0,30.0,65.0,48.0,37.0,17.0,11.0,,,,,,1.0,142.0,,,hard
5154,H2H 3-0,Marinko Matosevic,7.0,2.0,5966780.0,147814.0,,2.68,Marinko Matosevic,91.0,4.0,0.0,96.0,28.0,98.0,60.0,44.0,38.0,19.0,,,,,,2.0,194.0,,,2.68,1.49,SFQ,7-6(8) 7-6(3),2010-09-27,https://matchstat.com/tennis/tournaments/m/Bangkok/2010,Bangkok,Dmitry Tursunov,3.0,2.0,5966780.0,147813.0,,1.49,Dmitry Tursunov,103.0,2.0,0.0,98.0,35.0,96.0,66.0,50.0,30.0,18.0,,,,,,1.0,194.0,,,hard
5155,H2H 1-0,Ivan Dodig,16.0,4.0,5966781.0,147821.0,,1.53,Ivan Dodig,97.0,5.0,3.0,92.0,36.0,104.0,62.0,45.0,42.0,16.0,,,,,,1.0,196.0,,,1.53,2.56,SFQ,7-6(6) 7-6(7),2010-09-27,https://matchstat.com/tennis/tournaments/m/Bangkok/2010,Bangkok,Frederik Nielsen,3.0,1.0,5966781.0,147822.0,,2.56,Frederik Nielsen,99.0,12.0,3.0,104.0,43.0,92.0,64.0,44.0,28.0,12.0,,,,,,2.0,196.0,,,hard
5156,H2H 1-0,Tsung-Hua Yang,2.0,1.0,5966782.0,781754.0,,2.68,Tsung-Hua Yang,46.0,0.0,0.0,54.0,10.0,54.0,35.0,26.0,19.0,10.0,,,,,,1.0,108.0,,,2.68,1.49,SFQ,7-5 6-3,2010-09-27,https://matchstat.com/tennis/tournaments/m/Bangkok/2010,Bangkok,Peter Polansky,6.0,1.0,5966782.0,781755.0,,1.49,Peter Polansky,62.0,2.0,2.0,54.0,18.0,54.0,33.0,28.0,21.0,16.0,,,,,,2.0,108.0,,,hard
5157,H2H 1-0,Dane Chuntraruk,8.0,1.0,5966783.0,147824.0,,,Dane Chuntraruk,70.0,4.0,2.0,73.0,28.0,75.0,43.0,28.0,32.0,14.0,,,,,,2.0,148.0,,,,,SFQ,7-6(4) 6-3,2010-09-27,https://matchstat.com/tennis/tournaments/m/Bangkok/2010,Bangkok,Evgeny Kirillov,6.0,1.0,5966783.0,147823.0,,,Evgeny Kirillov,78.0,7.0,3.0,75.0,33.0,73.0,43.0,28.0,30.0,17.0,,,,,,1.0,148.0,,,hard
5158,H2H 1-0,Pongsiri Niroj,11.0,0.0,5966784.0,147815.0,,,Pongsiri Niroj,48.0,0.0,0.0,53.0,12.0,58.0,35.0,26.0,23.0,10.0,,,,,,1.0,111.0,,,,,SFQ,7-5 6-3,2010-09-27,https://matchstat.com/tennis/tournaments/m/Bangkok/2010,Bangkok,Ruben Bemelmans,4.0,2.0,5966784.0,147816.0,,,Ruben Bemelmans,63.0,4.0,3.0,58.0,22.0,53.0,34.0,28.0,19.0,13.0,,,,,,2.0,111.0,,,hard
5159,H2H 1-0,Yuichi Sugita,1.0,0.0,5966785.0,147818.0,,2.54,Yuichi Sugita,43.0,5.0,1.0,50.0,15.0,62.0,41.0,20.0,21.0,8.0,,,,,,2.0,112.0,,,2.54,1.54,SFQ,6-1 6-3,2010-09-27,https://matchstat.com/tennis/tournaments/m/Bangkok/2010,Bangkok,Ryler DeHeart,4.0,0.0,5966785.0,147817.0,,1.54,Ryler DeHeart,69.0,10.0,5.0,62.0,34.0,50.0,31.0,24.0,19.0,11.0,,,,,,1.0,112.0,,,hard
