,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,start_date,surface,tournament_link,tournament_name,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners
5135,H2H 3-1,Kristina Mladenovic,1.0,7.0,8448503.0,3608126.0,,3.4,Kristina Mladenovic,69.0,9.0,3.0,71.0,30.0,70.0,47.0,26.0,23.0,13.0,11.0,,,,,2.0,148.0,,,3.4,1.3,R32,7-5 6-4,2016-09-26,Hard,https://matchstat.com/tennis/tournaments/w/Beijing/2016,Beijing,Madison Keys,7.0,4.0,8448503.0,3608125.0,,1.3,Madison Keys,79.0,10.0,5.0,77.0,38.0,67.0,49.0,34.0,18.0,7.0,11.0,,,,,1.0,148.0,,
5136,H2H 1-0,Misaki Doi,1.0,2.0,8447110.0,3608113.0,,3.75,Misaki Doi,59.0,12.0,1.0,68.0,25.0,64.0,35.0,17.0,29.0,17.0,10.0,,,,,1.0,134.0,,,3.75,1.27,R32,6-1 7-5,2016-09-26,Hard,https://matchstat.com/tennis/tournaments/w/Beijing/2016,Beijing,Svetlana Kuznetsova,5.0,4.0,8447110.0,3608114.0,,1.27,Svetlana Kuznetsova,75.0,10.0,5.0,66.0,32.0,64.0,47.0,32.0,17.0,11.0,9.0,,,,,2.0,134.0,,
5137,H2H 1-0,Yafan Wang,1.0,1.0,8447111.0,3608116.0,,6.5,Yafan Wang,37.0,6.0,2.0,53.0,17.0,48.0,32.0,12.0,16.0,8.0,8.0,,,,,2.0,102.0,,,6.5,1.12,R32,6-4 6-1,2016-09-26,Hard,https://matchstat.com/tennis/tournaments/w/Beijing/2016,Beijing,Petra Kvitova,3.0,3.0,8447111.0,3608115.0,,1.12,Petra Kvitova,65.0,11.0,5.0,49.0,29.0,50.0,31.0,24.0,19.0,12.0,9.0,,,,,1.0,102.0,,
5138,H2H 1-0,Yulia Putintseva,1.0,3.0,8448018.0,3607889.0,,3.75,Yulia Putintseva,66.0,10.0,4.0,71.0,32.0,68.0,56.0,30.0,12.0,4.0,10.0,,,,,1.0,142.0,,,3.75,1.25,R32,6-2 7-6(5),2016-09-26,Hard,https://matchstat.com/tennis/tournaments/w/Beijing/2016,Beijing,Garbine Muguruza,3.0,4.0,8448018.0,3607890.0,,1.25,Garbine Muguruza,76.0,11.0,6.0,71.0,37.0,67.0,35.0,21.0,32.0,18.0,10.0,,,,,2.0,142.0,,
5139,H2H 2-0,Katerina Siniakova,1.0,5.0,8447076.0,3607858.0,,5.0,Katerina Siniakova,55.0,4.0,2.0,55.0,20.0,57.0,33.0,24.0,24.0,11.0,10.0,,,,,2.0,117.0,,,5.0,1.16,R64,6-4 6-4,2016-09-26,Hard,https://matchstat.com/tennis/tournaments/w/Beijing/2016,Beijing,Angelique Kerber,1.0,3.0,8447076.0,3607857.0,,1.16,Angelique Kerber,62.0,10.0,4.0,62.0,27.0,52.0,28.0,21.0,24.0,14.0,10.0,,,,,1.0,117.0,,
5140,H2H 1-0,Laura Siegemund,1.0,4.0,8447077.0,3607402.0,,2.1,Laura Siegemund,108.0,14.0,7.0,110.0,51.0,100.0,64.0,41.0,36.0,16.0,18.0,,,,,2.0,214.0,,,2.1,1.66,R64,5-7 7-5 7-5,2016-09-26,Hard,https://matchstat.com/tennis/tournaments/w/Beijing/2016,Beijing,Barbora Strycova,3.0,4.0,8447077.0,3607401.0,,1.66,Barbora Strycova,106.0,14.0,8.0,104.0,47.0,106.0,70.0,45.0,36.0,14.0,18.0,,,,,1.0,214.0,,
5141,H2H 4-0,Mirjana Lucic-Baroni,0.0,4.0,8447078.0,3607399.0,,1.83,Mirjana Lucic-Baroni,47.0,2.0,0.0,52.0,16.0,55.0,27.0,15.0,28.0,16.0,8.0,,,,,1.0,111.0,,,1.83,1.83,R64,6-2 6-2,2016-09-26,Hard,https://matchstat.com/tennis/tournaments/w/Beijing/2016,Beijing,Sabine Lisicki,9.0,4.0,8447078.0,3607400.0,,1.83,Sabine Lisicki,64.0,9.0,4.0,59.0,28.0,48.0,32.0,24.0,16.0,12.0,8.0,,,,,2.0,111.0,,
5142,H2H 1-0,Tatjana Maria,1.0,3.0,8447079.0,3607855.0,,5.5,Tatjana Maria,41.0,1.0,1.0,44.0,14.0,52.0,28.0,18.0,24.0,9.0,8.0,,,,,1.0,99.0,,,5.5,1.14,R64,6-2 6-2,2016-09-26,Hard,https://matchstat.com/tennis/tournaments/w/Beijing/2016,Beijing,Elina Svitolina,0.0,0.0,8447079.0,3607856.0,,1.14,Elina Svitolina,58.0,11.0,5.0,55.0,28.0,44.0,24.0,16.0,20.0,14.0,8.0,,,,,2.0,99.0,,
5143,H2H 2-0,Lara Arruabarrena,0.0,6.0,8447080.0,3607854.0,,3.0,Lara Arruabarrena,85.0,5.0,4.0,77.0,29.0,101.0,61.0,33.0,40.0,23.0,13.0,,,,,2.0,184.0,,,3.0,1.36,R64,4-6 6-4 6-1,2016-09-26,Hard,https://matchstat.com/tennis/tournaments/w/Beijing/2016,Beijing,Timea Bacsinszky,5.0,5.0,8447080.0,3607853.0,,1.36,Timea Bacsinszky,99.0,16.0,6.0,107.0,51.0,72.0,49.0,33.0,23.0,15.0,14.0,,,,,1.0,184.0,,
5144,H2H 2-0,Christina McHale,2.0,2.0,8447081.0,3607379.0,,2.0,Christina McHale,56.0,10.0,5.0,61.0,31.0,59.0,35.0,18.0,24.0,7.0,10.0,,,,,1.0,122.0,,,2.0,1.72,R64,6-4 6-4,2016-09-26,Hard,https://matchstat.com/tennis/tournaments/w/Beijing/2016,Beijing,Daria Gavrilova,0.0,4.0,8447081.0,3607380.0,,1.72,Daria Gavrilova,66.0,11.0,7.0,61.0,36.0,57.0,41.0,22.0,16.0,8.0,10.0,,,,,2.0,122.0,,
5145,H2H 1-0,Julia Goerges,7.0,6.0,8447082.0,3607852.0,,2.25,Julia Goerges,92.0,19.0,5.0,107.0,49.0,75.0,48.0,29.0,27.0,14.0,14.0,,,,,2.0,188.0,,,2.25,1.57,R64,4-6 6-3 6-4,2016-09-26,Hard,https://matchstat.com/tennis/tournaments/w/Beijing/2016,Beijing,Caroline Garcia,6.0,2.0,8447082.0,3607851.0,,1.57,Caroline Garcia,96.0,8.0,6.0,81.0,38.0,105.0,55.0,38.0,50.0,20.0,15.0,,,,,1.0,188.0,,
